,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Eliza Relman,JD Vance says pumping more oil will make housing cheaper. Economists say that's a stretch.,"Economists say when it comes to home building, looser rules, cheaper building materials, and more workers are more important than energy costs.",https://www.businessinsider.com/jd-vance-drilling-oil-housing-rent-home-prices-construction-2024-10,https://i.insider.com/6722a66601ea6d83dee54029?width=1200&format=jpeg,2024-11-01T09:00:01Z,"Chip Somodevilla/Getty Images; iStock; Rebecca Zisser/BI
<ul><li>Both presidential campaigns have discussed ideas for cutting housing costs.</li><li>JD Vance says a Trump administration would build … [+5286 chars]",business-insider,Business Insider
1,WIRED Staff,Will Your Elected Officials in Congress Accept the Results of the Election?,We’ve asked every member of Congress whether they’ll accept the results as called by the Associated Press. Use our tool to see how your representatives answer.,https://www.wired.com/story/congress-accept-election-results/,"https://media.wired.com/photos/67226f2226693bf18984e220/191:100/w_1280,c_limit/Congressman.jpg",2024-10-31T10:00:00Z,"We are in the final days of a momentous presidential election between Kamala Harris and Donald Trump. Do you know whether your elected officials will accept the outcome?
WIRED reached out to every s… [+3156 chars]",wired,Wired
2,Matt Novak,Scammy Ads on Facebook and Instagram Viewed 900 Million Times: Report,What a garbage heap.,https://gizmodo.com/scammy-ads-on-facebook-and-instagram-viewed-900-million-times-report-2000518931,https://gizmodo.com/app/uploads/2024/10/mark-zuckberberg-getty.jpg,2024-10-31T18:00:29Z,"Facebook, an internet machine that turns lies into money, is absolutely swimming in scammers who buy ads with political messages, according to a new report from ProPublica. The fact that Meta’s platf… [+4950 chars]",,Gizmodo.com
3,Pallavi Gogoi,Why abortion referendums are also about the economy,Abortion is on the ballot in 10 states. The vote results will have consequences beyond women's reproductive rights.,https://www.npr.org/2024/10/30/nx-s1-5172193/abortion-economy-state-ballot-2024,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/5051x2841+0+0/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F9a%2F6c%2F6aa1091745208f4a868770a781bf%2Fgettyimages-2159037031.jpg,2024-10-31T12:00:00Z,"Abortion rights and our bank accounts are inextricably tied, as those who study economics will tell you.
With abortion rights on the ballot in 10 states this year, not to mention some candidates who… [+6221 chars]",,NPR
4,Bryan Metzger,The closing note of the 2024 campaign: How dare you?,"From an offensive joke about Puerto Rico, to a Biden gaffe, to Mark Cuban, both sides have tried to harness outrage in the election's final days.",https://www.businessinsider.com/election-trump-harris-outrage-garbage-mark-cuban-puerto-rico-2024-11,https://i.insider.com/6724d71ba0a0cc14f2257199?width=1200&format=jpeg,2024-11-01T20:31:08Z,"From an offensive joke about Puerto Rico to garbage trucks to Mark Cuban, each campaign tried to harness outrage in the final week of the election.Chip Somodevilla/Getty Images
<ul><li>The final wee… [+5723 chars]",business-insider,Business Insider
5,Talia Lakritz,Photos show the biggest moments of the 2024 election so far,The 2024 presidential election has been full of memorable moments and unexpected twists.,https://www.businessinsider.com/donald-trump-kamala-harris-election-biggest-moments-photos-2024-10,https://i.insider.com/67228e299b3250dbbceb3f41?width=1200&format=jpeg,2024-10-31T15:39:27Z,"Donald Trump and Kamala Harris on the debate stage.SAUL LOEB / AFP
<ul><li>The 2024 election has been full of memorable moments and unexpected twists.</li><li>It began as a Trump-Biden rematch, then… [+13730 chars]",business-insider,Business Insider
6,The New Yorker,Key Moments from the Donald Trump–Kamala Harris 2024 Presidential Election,"Major milestones in the campaign also involving Joe Biden, J. D. Vance, Tim Walz, Robert F. Kennedy, Jr., debates, assassination attempts, and the party conventions.",https://www.newyorker.com/news/american-chronicles/the-election-season-that-fell-out-of-a-coconut-tree,"https://media.newyorker.com/photos/672559121a7a8270564ea58a/16:9/w_1280,c_limit/2024_Election_Retold_Social.jpg",2024-11-02T10:00:00Z,"At the end of October, a trim and smiling Joe Biden, no longer the Democratic candidate but still the President, delivered some pizzas to a few dozen phone-bankers at a union hall in western Pennsylv… [+3994 chars]",,The New Yorker
7,,"Opinion: J.D. Vance paints himself as an everyman, but he grew up in Top 10% of households",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_26468221-1812-434a-b224-7f1fdee71157,,2024-11-01T17:01:01Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",,Yahoo Entertainment
8,Andrew Marantz,The Tucker Carlson Road Show,"Carlson has spent the year after his Fox News firing promoting Donald Trump and conspiracy theories and interviewing figures including J. D. Vance, Alex Jones, Vladimir Putin, Robert F. Kennedy, Jr., and Roseanne Barr. Andrew Marantz reports.",https://www.newyorker.com/magazine/2024/11/11/the-tucker-carlson-road-show,"https://media.newyorker.com/photos/6720f25129c9433b6c4d5454/16:9/w_1280,c_limit/r45199.jpg",2024-11-01T10:00:00Z,"Preach it, Tucker! someone shouted. Carlson smiles when hes having fun, but when hes really cooking he looks deadly serious, like Kobe Bryant in unblinking Mamba mode. The credentialling system that … [+7924 chars]",,The New Yorker
9,TMZ Staff,"J.D. Vance Tells Joe Rogan He Drove Home, Loaded His Guns After Trump Shooting","J.D. Vance was ready to defend his homestead after Donald Trump was nearly shot in July .... he drove home and immediately loaded his guns -- ready to go down shooting! The Republican nominee for vice president went on ""The Joe Rogan Experience""…",https://www.tmz.com/2024/10/31/jd-vance-tells-joe-rogan-loaded-guns-after-trump-shooting/,https://imagez.tmz.com/image/42/16by9/2024/10/31/42cacd49e7f94d63af6d955abd2fcf94_xl.jpg,2024-10-31T20:39:44Z,"J.D. Vance was ready to defend his homestead after Donald Trump was nearly shot in July .... he drove home and immediately loaded his guns -- ready to go down shooting!
The Republican nominee for vi… [+1359 chars]",,TMZ
